Entrez Gene Interactor A	Entrez Gene Interactor B
2547	7520
10273	6446
6446	10273
6446	1831
1831	6446
6446	5894
8615	8615
7157	5595
7157	5594
9246	2322
6477	2322
54583	6714
6714	54583
4609	1039
4110	2033
4110	10499
10499	4110
10499	2033
3791	8945
4914	3320
4914	3308
4914	11140
4303	4287
4287	4303
51588	9735
9735	51588
9735	9183
51588	9183
857	5743
6338	4734
150684	6338
150684	207
6774	10401
5241	8648
8648	5241
1901	11060
11060	1901
7329	1831
3996	10048
10048	3996
4193	6154
6154	4193
6154	7157
4193	7157
4286	10213
387893	7329
7329	387893
7157	7329
30818	7329
7329	30818
7132	8737
7132	7186
7132	7128
8772	841
8772	7128
10197	7157
7157	7157
7157	4193
5077	6872
6872	5077
891	1017
890	1017
890	991
991	890
991	701
701	991
5071	25
25	5071
9817	8452
7334	7335
9306	3815
9306	8065
9306	6921
9306	6923
10746	10273
9529	10273
9529	3308
6622	10273
6622	3308
6622	9529
409	4193
4193	409
23363	9820
9820	23363
56616	3093
3093	56616
5879	10401
331	396
5987	7329
5987	4193
5987	7157
7157	596
51588	5590
64127	8767
8767	64127
4217	10273
10273	4217
10273	3308
3308	10273
1856	378884
6294	9611
6294	8841
6294	2099
9817	4780
9817	23633
23633	9817
55367	5111
55367	5985
5111	55367
5111	1026
23239	207
1026	5111
5111	1026
8454	55832
8453	55832
8452	55832
8451	55832
8065	55832
8454	10987
8454	6502
8454	8945
8454	6500
5701	5707
5701	5714
8517	1147
84557	8878
841	8878
84727	4843
5105	51366
5105	7917
7917	5105
51366	5105
5036	4193
4193	5036
7157	4193
4193	7157
602	4790
602	4791
4792	4790
4792	8945
56852	6596
56852	257218
56852	5429
56852	51426
6596	56852
257218	56852
4609	26269
26269	4609
367	2071
2967	367
10155	4101
10155	266740
10155	51438
10155	57692
10155	4113
84708	286514
197370	56160
9500	64219
10155	4102
10155	4105
8718	8717
23410	3329
1029	7428
7428	7157
5371	8312
8312	5371
8312	7157
5371	7157
7157	5371
7157	8312
8312	28996
7157	28996
8915	84433
10892	8915
6502	7428
7428	6502
6502	207
4217	5700
4734	2890
5111	51514
5111	2956
51514	5111
10155	1107
1107	10155
596	8678
596	3320
3320	596
8521	29843
29843	8521
5058	5879
4086	4734
4193	7157
7157	4193
115548	2060
1642	6297
