source target
AVAR 	 AVKL        
AVAR 	 PVNL        
AVAR 	 PVCL        
AVAR 	 PVCR        
AVAR 	 AVAL        
AVAR 	 AVDL        
AVAR 	 AVDR        
AVAR 	 AVER        
AVAR 	 RIML        
AVAR 	 SMDVR       
AVAR 	 DA01        
AVAR 	 DA02        
AVAR 	 DA03        
AVAR 	 DA05        
AVAR 	 DA06        
AVAR 	 DA07        
AVAR 	 DA08        
AVAR 	 DA09        
AVAR 	 DB06        
AVAR 	 AS08        
AVAR 	 AS09        
AVAR 	 AS10        
AVAR 	 VA01        
AVAR 	 VA03        
AVAR 	 VA04        
AVAR 	 VA05        
AVAR 	 VA07        
AVAR 	 VA08        
AVAR 	 VA09        
AVAR 	 VA10        
AVAR 	 VA11        
AVAR 	 VA12        
AVAR 	 VB06        
AVAR 	 VB08        
AVAR 	 VB09        
AVAR 	 VB10        
AVAR 	 hyp         
AVAR 	 R5AR        
AVAR 	 PVX         
AVAR 	 CP05        
AVBL 	 RIBL        
AVBL 	 AVG         
AVBL 	 DVA         
AVBL 	 PVNL        
AVBL 	 PVNR        
AVBL 	 AVBL        
AVBL 	 AVBR        
AVBL 	 SIBDL       
AVBL 	 SIBVR       
AVBL 	 DA06        
AVBL 	 DB02        
AVBL 	 DB03        
AVBL 	 DB04        
AVBL 	 DB05        
AVBL 	 DB06        
AVBL 	 DB07        
AVBL 	 AS10        
AVBL 	 VB01        
AVBL 	 VB02        
AVBL 	 VB04        
AVBL 	 VB05        
AVBL 	 VB06        
AVBL 	 VB07        
AVBL 	 VB08        
AVBL 	 VB09        
AVBL 	 VB10        
AVBL 	 VB11        
AVBL 	 PVX         
AVBR 	 PQR         
AVBR 	 RIBR        
AVBR 	 AVG         
AVBR 	 AVHR        
AVBR 	 DVA         
AVBR 	 PVNL        
AVBR 	 PVNR        
AVBR 	 RID         
AVBR 	 AVBL        
AVBR 	 AVBR        
AVBR 	 SIBVL       
